ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:    3658        58.3506       210.1324       670.5803        10.5284         -10517.3845       671.3277         0.0000         0.0000         0.0000          -8896.4651         0.0000     -8896.4651     -8896.4651         0.0000            460.1930       459.6532   1000000.0000       460.1930       459.6532
ENERGY:    3659        58.3680       210.1456       670.5847        10.5325         -10517.4226       671.3281         0.0000         0.0000         0.0000          -8896.4636         0.0000     -8896.4636     -8896.4636         0.0000            460.2090       459.6684   1000000.0000       460.2090       459.6684
ENERGY:    3660        58.3523       210.1337       670.5807        10.5288         -10517.3883       671.3277         0.0000         0.0000         0.0000          -8896.4651         0.0000     -8896.4651     -8896.4651         0.0000            460.1946       459.6548   1000000.0000       460.1946       459.6548
ENERGY:    3661        58.3507       210.1326       670.5803        10.5285         -10517.3849       671.3277         0.0000         0.0000         0.0000          -8896.4651         0.0000     -8896.4651     -8896.4651         0.0000            460.1932       459.6534   1000000.0000       460.1932       459.6534
ENERGY:    3662        58.3509       210.1327       670.5804        10.5285         -10517.3852       671.3277         0.0000         0.0000         0.0000          -8896.4651         0.0000     -8896.4651     -8896.4651         0.0000            460.1933       459.6535   1000000.0000       460.1933       459.6535
ENERGY:    3663        58.3507       210.1326       670.5803        10.5285         -10517.3849       671.3277         0.0000         0.0000         0.0000          -8896.4651         0.0000     -8896.4651     -8896.4651         0.0000            460.1932       459.6534   1000000.0000       460.1932       459.6534
ENERGY:    3664        58.6468       210.4450       670.5591        10.6015         -10518.2171       671.1614         0.0000         0.0000         0.0000          -8896.8034         0.0000     -8896.8034     -8896.8034         0.0000            461.0022       460.2171   1000000.0000       461.0022       460.2171
ENERGY:    3665        59.5021       211.1429       670.5831        10.7352         -10518.5824       671.2143         0.0000         0.0000         0.0000          -8895.4048         0.0000     -8895.4048     -8895.4048         0.0000            461.6255       460.6179   1000000.0000       461.6255       460.6179
ENERGY:    3666        58.4982       210.3093       670.5609        10.5729         -10518.0134       671.1907         0.0000         0.0000         0.0000          -8896.8814         0.0000     -8896.8814     -8896.8814         0.0000            460.7774       460.0643   1000000.0000       460.7774       460.0643
ENERGY:    3667        58.5108       210.3213       670.5605        10.5755         -10518.0357       671.1869         0.0000         0.0000         0.0000          -8896.8807         0.0000     -8896.8807     -8896.8807         0.0000            460.8007       460.0802   1000000.0000       460.8007       460.0802
ENERGY:    3668        58.4994       210.3105       670.5609        10.5732         -10518.0158       671.1903         0.0000         0.0000         0.0000          -8896.8815         0.0000     -8896.8815     -8896.8815         0.0000            460.7797       460.0658   1000000.0000       460.7797       460.0658
ENERGY:    3669        58.4993       210.3104       670.5609        10.5732         -10518.0156       671.1903         0.0000         0.0000         0.0000          -8896.8815         0.0000     -8896.8815     -8896.8815         0.0000            460.7795       460.0657   1000000.0000       460.7795       460.0657
ENERGY:    3670        58.5246       210.7358       670.5252        10.6064         -10518.8097       671.2674         0.0000         0.0000         0.0000          -8897.1503         0.0000     -8897.1503     -8897.1503         0.0000            460.9623       460.3132   1000000.0000       460.9623       460.3132
ENERGY:    3671        59.1856       211.5951       670.5265        10.6769         -10519.1496       671.5880         0.0000         0.0000         0.0000          -8895.5775         0.0000     -8895.5775     -8895.5775         0.0000            460.9659       460.3792   1000000.0000       460.9659       460.3792
ENERGY:    3672        58.4433       210.5360       670.5337        10.5904         -10518.5810       671.2147         0.0000         0.0000         0.0000          -8897.2629         0.0000     -8897.2629     -8897.2629         0.0000            460.9191       460.2535   1000000.0000       460.9191       460.2535
ENERGY:    3673        58.4479       210.5535       670.5327        10.5918         -10518.6066       671.2187         0.0000         0.0000         0.0000          -8897.2621         0.0000     -8897.2621     -8897.2621         0.0000            460.9243       460.2603   1000000.0000       460.9243       460.2603
ENERGY:    3674        58.4438       210.5377       670.5336        10.5905         -10518.5837       671.2151         0.0000         0.0000         0.0000          -8897.2630         0.0000     -8897.2630     -8897.2630         0.0000            460.9195       460.2542   1000000.0000       460.9195       460.2542
ENERGY:    3675        58.4437       210.5376       670.5336        10.5905         -10518.5834       671.2151         0.0000         0.0000         0.0000          -8897.2630         0.0000     -8897.2630     -8897.2630         0.0000            460.9195       460.2541   1000000.0000       460.9195       460.2541
ENERGY:    3676        58.4438       210.5377       670.5336        10.5905         -10518.5837       671.2151         0.0000         0.0000         0.0000          -8897.2630         0.0000     -8897.2630     -8897.2630         0.0000            460.9195       460.2542   1000000.0000       460.9195       460.2542
ENERGY:    3677        58.2272       210.8225       670.5928        10.6168         -10519.4466       671.6743         0.0000         0.0000         0.0000          -8897.5129         0.0000     -8897.5129     -8897.5129         0.0000            460.5842       460.1965   1000000.0000       460.5842       460.1965
ENERGY:    3678        58.6297       211.5288       670.6999        10.6916         -10519.8472       672.4086         0.0000         0.0000         0.0000          -8895.8886         0.0000     -8895.8886     -8895.8886         0.0000            460.0806       459.9957   1000000.0000       460.0806       459.9957
ENERGY:    3679        58.2351       210.6694       670.5659        10.6015         -10519.1827       671.4771         0.0000         0.0000         0.0000          -8897.6337         0.0000     -8897.6337     -8897.6337         0.0000            460.7278       460.2358   1000000.0000       460.7278       460.2358
ENERGY:    3680        58.2306       210.6821       670.5683        10.6028         -10519.2113       671.4953         0.0000         0.0000         0.0000          -8897.6323         0.0000     -8897.6323     -8897.6323         0.0000            460.7147       460.2330   1000000.0000       460.7147       460.2330
ENERGY:    3681        58.2346       210.6706       670.5661        10.6017         -10519.1855       671.4789         0.0000         0.0000         0.0000          -8897.6336         0.0000     -8897.6336     -8897.6336         0.0000            460.7265       460.2355   1000000.0000       460.7265       460.2355
ENERGY:    3682        58.2350       210.6695       670.5659        10.6015         -10519.1830       671.4773         0.0000         0.0000         0.0000          -8897.6337         0.0000     -8897.6337     -8897.6337         0.0000            460.7277       460.2358   1000000.0000       460.7277       460.2358
ENERGY:    3683        58.4678       210.6359       670.6752        10.6210         -10520.4464       672.2096         0.0000         0.0000         0.0000          -8897.8368         0.0000     -8897.8368     -8897.8368         0.0000            460.9371       460.4879   1000000.0000       460.9371       460.4879
ENERGY:    3684        59.3526       211.0159       670.8368        10.7070         -10521.2264       673.2514         0.0000         0.0000         0.0000          -8896.0627         0.0000     -8896.0627     -8896.0627         0.0000            460.9802       460.6025   1000000.0000       460.9802       460.6025
ENERGY:    3685        58.2979       210.5994       670.6259        10.6053         -10520.0019       671.8852         0.0000         0.0000         0.0000          -8897.9882         0.0000     -8897.9882     -8897.9882         0.0000            460.8754       460.4059   1000000.0000       460.8754       460.4059
ENERGY:    3686        58.3103       210.6001       670.6305        10.6064         -10520.0494       671.9155         0.0000         0.0000         0.0000          -8897.9866         0.0000     -8897.9866     -8897.9866         0.0000            460.8829       460.4152   1000000.0000       460.8829       460.4152
ENERGY:    3687        58.2991       210.5995       670.6264        10.6054         -10520.0067       671.8882         0.0000         0.0000         0.0000          -8897.9882         0.0000     -8897.9882     -8897.9882         0.0000            460.8761       460.4068   1000000.0000       460.8761       460.4068
ENERGY:    3688        58.2987       210.5994       670.6262        10.6054         -10520.0052       671.8872         0.0000         0.0000         0.0000          -8897.9882         0.0000     -8897.9882     -8897.9882         0.0000            460.8759       460.4065   1000000.0000       460.8759       460.4065
ENERGY:    3689        58.2986       210.5994       670.6262        10.6054         -10520.0047       671.8869         0.0000         0.0000         0.0000          -8897.9882         0.0000     -8897.9882     -8897.9882         0.0000            460.8758       460.4064   1000000.0000       460.8758       460.4064
ENERGY:    3690        58.2987       210.5994       670.6262        10.6054         -10520.0052       671.8872         0.0000         0.0000         0.0000          -8897.9882         0.0000     -8897.9882     -8897.9882         0.0000            460.8759       460.4056   1000000.0000       460.8759       460.4056
